,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
0,2020-04-06,0050,12207626,935731083,76.95,77.1,75.75,77.05,1.15,5824
1,2020-04-07,0050,15302038,1200849513,78.5,78.9,78.05,78.5,1.45,8794
2,2020-04-08,0050,15230698,1205900652,78.5,79.7,78.35,79.6,1.1,8941
3,2020-04-09,0050,15650105,1242814448,79.85,80.1,78.85,79.25,-0.35,8547
4,2020-04-10,0050,5824779,460693342,79.0,79.35,78.7,79.3,0.05,3348
5,2020-04-13,0050,7430914,586896106,79.0,79.4,78.55,78.8,-0.5,4389
6,2020-04-14,0050,13121792,1054569152,79.05,80.95,79.05,80.95,2.15,7743
7,2020-04-15,0050,17361116,1410800897,81.25,81.5,81.0,81.2,0.25,7137
8,2020-04-16,0050,12409525,1001483225,80.2,81.1,80.05,80.8,-0.4,6925
9,2020-04-17,0050,34532038,2879398225,83.0,84.0,82.7,83.25,2.45,11524
10,2020-04-20,0050,12336416,1025144071,83.25,83.5,82.8,83.0,-0.25,5638
11,2020-04-21,0050,21082454,1712306057,82.65,82.65,80.5,80.6,-2.4,11037
12,2020-04-22,0050,10896151,871604621,80.0,80.6,79.5,80.6,0.0,5607
13,2020-04-23,0050,13298948,1078973188,81.15,82.0,80.3,80.9,0.3,5546
14,2020-04-24,0050,5764752,466004912,80.8,81.0,80.45,80.9,0.0,3025
15,2020-04-27,0050,13917724,1144296195,82.15,82.6,81.65,82.55,1.65,5005
16,2020-04-28,0050,7556661,622421135,82.9,82.9,82.0,82.55,0.0,4044
17,2020-04-29,0050,11874079,992546626,83.05,83.9,82.95,83.7,1.15,5582
18,2020-04-30,0050,18785156,1597420751,84.45,85.5,84.4,85.5,1.8,8305
19,2020-05-04,0050,15648380,1296408090,82.4,83.3,82.2,83.0,-2.5,8848
20,2020-05-05,0050,7810636,651512279,83.5,83.8,83.0,83.4,0.4,3986
21,2020-05-06,0050,6142593,511218824,83.3,83.75,82.6,83.5,0.1,3610
22,2020-05-07,0050,6140995,514715030,83.5,84.15,83.3,83.85,0.35,3429
23,2020-05-08,0050,6034013,508981564,84.6,84.75,84.0,84.35,0.5,3530
24,2020-05-11,0050,6655422,566557718,85.0,85.4,84.7,85.05,0.7,4065
25,2020-05-12,0050,11549365,970944184,84.6,84.6,83.65,84.05,-1.0,6496
26,2020-05-13,0050,4967165,417187216,83.7,84.4,83.6,84.3,0.25,2672
27,2020-05-14,0050,8743268,729929358,83.8,83.85,83.2,83.3,-1.0,4975
28,2020-05-15,0050,6190781,518392098,84.05,84.25,83.05,83.85,0.55,3135
29,2020-05-18,0050,8271703,687412937,83.05,83.45,82.8,83.15,-0.7,4054
30,2020-05-19,0050,5477775,460004900,84.4,84.5,83.65,83.9,0.75,3225
31,2020-05-21,0050,7568047,639149173,84.15,84.8,84.1,84.5,0.7,3658
32,2020-05-22,0050,13354146,1110886948,83.8,83.9,82.9,82.95,-1.55,8390
33,2020-05-25,0050,5250544,435011428,83.15,83.5,82.15,83.5,0.55,3380
34,2020-05-26,0050,15454949,1305177905,84.25,84.65,83.85,84.45,0.95,5465
35,2020-05-27,0050,4589767,387703276,84.7,84.85,84.05,84.35,-0.1,3012
36,2020-05-28,0050,7476909,630228694,84.9,84.9,83.55,83.85,-0.5,3104
37,2020-05-29,0050,5320690,444529073,83.4,84.45,83.0,84.45,0.6,2851
38,2020-06-01,0050,8365321,709979535,84.45,85.15,84.4,84.9,0.45,4221
39,2020-06-02,0050,11947060,1019866379,85.0,85.5,85.0,85.3,0.4,4546
40,2020-06-03,0050,18117244,1567235805,86.15,86.9,86.1,86.8,1.5,7251
41,2020-06-04,0050,15036553,1315498861,87.5,87.75,87.15,87.6,0.8,6182
42,2020-06-05,0050,9916582,873460722,87.7,88.35,87.7,88.35,0.75,5501
43,2020-06-09,0050,11356579,1016232445,89.6,89.8,88.95,89.6,0.1,4738
44,2020-06-10,0050,10998897,992706489,89.65,90.7,89.55,90.45,0.85,6189
45,2020-06-11,0050,14179192,1274547880,90.45,90.85,89.0,89.05,-1.4,6785
46,2020-06-12,0050,21563371,1896372312,87.25,88.5,87.1,88.25,-0.8,9065
47,2020-06-15,0050,9573700,839035110,88.1,88.3,86.9,87.0,-1.25,6066
48,2020-06-16,0050,10841047,962708421,88.15,89.2,88.15,88.9,1.9,5206
49,2020-06-17,0050,11510236,1022814504,89.2,89.2,88.3,89.0,0.1,9354
